id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,9,20,609.7939197631018,2.39281410844228,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6- Raji,JE6+ Raji,3,3,-0.5029935777439165,-0.29557930362923196,0.7705982933271982,2,20,0.05
,,JE6- Raji,J132- Raji,3,3,-3.4020941999037175,-1.9992077016151366,0.05935764409517952,,,
,,JE6- Raji,J133- Raji,3,3,-5.25675378651249,-3.089080442213424,0.00578634284895263,,,
,,JE6- Raji,J134- Raji,3,3,-5.5331182632670926,-3.2514833499272306,0.003997056453019621,,,
,,JE6- Raji,J135- Raji,3,3,-3.3465513341735464,-1.9665684745941223,0.06326484299712432,,,
,,JE6+ Raji,J132+ Raji,3,3,-16.75109215731427,-9.843617043971143,4.121235130938317e-09,,,
,,JE6+ Raji,J133+ Raji,3,3,-65.34724351935775,-38.400674657073615,0.0,,,
,,JE6+ Raji,J134+ Raji,3,3,-60.7943687282047,-35.72522188824077,0.0,,,
,,JE6+ Raji,J135+ Raji,3,3,-69.24854434138115,-40.69323629452839,0.0,,,
,,J132- Raji,J132+ Raji,3,3,-13.851991535154472,-8.13998864598524,8.90694324962027e-08,,,
,,J132- Raji,J133- Raji,3,3,-1.854659586608772,-1.0898727405982875,0.28872708964951777,,,
,,J132- Raji,J134- Raji,3,3,-2.131024063363375,-1.2522756483120938,0.22491609390189504,,,
,,J132- Raji,J135- Raji,3,3,0.05554286573017109,0.03263922702101431,0.974285828142204,,,
,,J132+ Raji,J133+ Raji,3,3,-48.59615136204347,-28.557057613102472,0.0,,,
,,J132+ Raji,J134+ Raji,3,3,-44.04327657089043,-25.881604844269624,0.0,,,
,,J132+ Raji,J135+ Raji,3,3,-52.49745218406687,-30.849619250557243,0.0,,,
,,J133- Raji,J133+ Raji,3,3,-60.59348331058917,-35.607173518489425,0.0,,,
,,J133- Raji,J134- Raji,3,3,-0.27636447675460296,-0.16240290771380644,0.8726181933132631,,,
,,J133- Raji,J135- Raji,3,3,1.9102024523389431,1.1225119676193018,0.274940355230638,,,
,,J133+ Raji,J134+ Raji,3,3,4.5528747911530445,2.675452768832848,0.014537263994358396,,,
,,J133+ Raji,J135+ Raji,3,3,-3.9013008220234013,-2.2925616374547713,0.03284968527470555,,,
,,J134- Raji,J134+ Raji,3,3,-55.764244042681526,-32.76931784194277,0.0,,,
,,J134- Raji,J135- Raji,3,3,2.186566929093546,1.284914875333108,0.2135044736784335,,,
,,J134+ Raji,J135+ Raji,3,3,-8.454175613176446,-4.96801440628762,7.39767006057157e-05,,,
,,J135- Raji,J135+ Raji,3,3,-66.40498658495152,-39.022247123563496,0.0,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6- Raji,JE6+ Raji,3,3,-0.5029935777439165,-0.29557930362923196,0.9879277023763037,2,20,0.05,False
,,JE6- Raji,J132- Raji,3,3,-3.4020941999037175,-1.9992077016151366,0.4234715078130754,,,,False
,,JE6- Raji,J133- Raji,3,3,-5.25675378651249,-3.089080442213424,0.06726839011781716,,,,False
,,JE6- Raji,J134- Raji,3,3,-5.5331182632670926,-3.2514833499272306,0.050733652411727004,,,,False
,,JE6- Raji,J135- Raji,3,3,-3.3465513341735464,-1.9665684745941223,0.4234715078130754,,,,False
,,JE6+ Raji,J132+ Raji,3,3,-16.75109215731427,-9.843617043971143,6.593976009661162e-08,,,,True
,,JE6+ Raji,J133+ Raji,3,3,-65.34724351935775,-38.400674657073615,0.0,,,,True
,,JE6+ Raji,J134+ Raji,3,3,-60.7943687282047,-35.72522188824077,0.0,,,,True
,,JE6+ Raji,J135+ Raji,3,3,-69.24854434138115,-40.69323629452839,0.0,,,,True
,,J132- Raji,J132+ Raji,3,3,-13.851991535154472,-8.13998864598524,1.336040654442705e-06,,,,True
,,J132- Raji,J133- Raji,3,3,-1.854659586608772,-1.0898727405982875,0.8138453896454811,,,,False
,,J132- Raji,J134- Raji,3,3,-2.131024063363375,-1.2522756483120938,0.8138453896454811,,,,False
,,J132- Raji,J135- Raji,3,3,0.05554286573017109,0.03263922702101431,0.9879277023763037,,,,False
,,J132+ Raji,J133+ Raji,3,3,-48.59615136204347,-28.557057613102472,0.0,,,,True
,,J132+ Raji,J134+ Raji,3,3,-44.04327657089043,-25.881604844269624,0.0,,,,True
,,J132+ Raji,J135+ Raji,3,3,-52.49745218406687,-30.849619250557243,0.0,,,,True
,,J133- Raji,J133+ Raji,3,3,-60.59348331058917,-35.607173518489425,0.0,,,,True
,,J133- Raji,J134- Raji,3,3,-0.27636447675460296,-0.16240290771380644,0.9879277023763037,,,,False
,,J133- Raji,J135- Raji,3,3,1.9102024523389431,1.1225119676193018,0.8138453896454811,,,,False
,,J133+ Raji,J134+ Raji,3,3,4.5528747911530445,2.675452768832848,0.1487791102295628,,,,False
,,J133+ Raji,J135+ Raji,3,3,-3.9013008220234013,-2.2925616374547713,0.2839558931614634,,,,False
,,J134- Raji,J134+ Raji,3,3,-55.764244042681526,-32.76931784194277,0.0,,,,True
,,J134- Raji,J135- Raji,3,3,2.186566929093546,1.284914875333108,0.8138453896454811,,,,False
,,J134+ Raji,J135+ Raji,3,3,-8.454175613176446,-4.96801440628762,0.0010351759535591754,,,,True
,,J135- Raji,J135+ Raji,3,3,-66.40498658495152,-39.022247123563496,0.0,,,,True


