id	fdr.pvalue.5m_vs_0m	fdr.pvalue.15m_vs_0m	5m_vs_0m	15m_vs_0m
PERT-PSP_VIRUS_INFECTION	0.04597655209166	0.180121681852246	2.707	2.2407
PERT-PSP_VANADATE	0.0184144963867354	0.190840245221781	3.0554	2.1655
PERT-PSP_UV	0.345568280645871	0.809683794466403	1.6475	0.5363
PERT-PSP_U0126	0.00846950976484655	0.00268144843281732	-3.012	-3.0831
PERT-PSP_TNF	0.374890938369199	0.836321114684661	1.5632	0.4714
PERT-PSP_THROMBIN	0.00268144843281732	0.214201575011581	3.5828	2.0937
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.0444116022511831	0.166158476416025	2.7462	2.2915
PERT-PSP_SORBITOL	0.00904438589379814	0.04597655209166	-3.4432	-2.7713
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.282828282828283	0.591596955079278	1.8288	1.094
PERT-PSP_PHORBOL_ESTER	0.140911782119597	0.595476858345021	2.4498	1.0691
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.04597655209166	0.187304545925236	2.6783	2.2077
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.00216363636363636	0.00904438589379814	3.4574	2.9183
PERT-PSP_OKADAIC_ACID	0.205299121461442	0.31469796789459	2.1589	1.7192
PERT-PSP_LPS	0.0421498421498421	0.188212634822804	2.6565	2.2071
PERT-PSP_LPA	0.04597655209166	0.187304545925236	2.7072	2.2161
PERT-PSP_INSULIN	0.161069232446024	0.621714523207061	2.3421	0.9992
PERT-PSP_IL_2	0.023738280470776	0.246993127147766	2.9629	1.9819
PERT-PSP_IL_1B	0.282828282828283	0.591596955079278	1.8489	1.0918
PERT-PSP_IL_1A	0.271568148510015	0.591596955079278	1.8921	1.0934
PERT-PSP_HGF	0.161069232446024	0.456713761447669	2.304	1.374
PERT-PSP_HEREGULIN	0.00216363636363636	0.00601739482200647	3.0252	2.9646
PERT-PSP_H2O2	0.888594755893334	0.00718550219263486	-0.3851	-3.1028
PERT-PSP_FIBRONECTIN	0.00268144843281732	0.00718550219263486	2.9871	2.9604
PERT-PSP_FGF2	0.836321114684661	0.0533988099188179	0.5404	-2.5927
PERT-PSP_FGF1	0.00216363636363636	0.0214049039098741	3.3725	2.878
PERT-PSP_ETOPOSIDE	0.0557921469036921	0.0300387343865605	-2.7844	-2.9428
PERT-PSP_ERLOTINIB	0.00268144843281732	0.023738280470776	-3.4808	-2.9024
PERT-PSP_EGF	0.978343693603369	0.00216363636363636	-0.1407	-4.4388
