id	fdr.pvalue.5m_vs_0m	fdr.pvalue.15m_vs_0m	5m_vs_0m	15m_vs_0m
PERT-PSP_VIRUS_INFECTION	0.0895454217649463	0.11428673205253	2.5214	2.3595
PERT-PSP_VANADATE	0.0665581608539206	0.159069338324576	2.6153	2.1637
PERT-PSP_UV	0.100684655658478	0.687098476827604	2.4108	0.8076
PERT-PSP_U0126	0.00502209722780233	0.0316364924831694	-2.9615	-2.8147
PERT-PSP_TNF	0.108088650792214	0.620455238700622	2.3823	0.9533
PERT-PSP_THROMBIN	0.0124179723934676	0.192349084273796	3.2399	2.0457
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.0798748584617508	0.00502209722780233	2.5771	2.9957
PERT-PSP_SORBITOL	0.0701580174423625	0.0304579469469423	-2.5862	-3.1078
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.085337273283065	0.297493932601171	2.4846	1.7414
PERT-PSP_PHORBOL_ESTER	0.0317469420526139	0.297150414918116	2.9191	1.7442
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0903363291021959	0.117934878005968	2.51	2.3064
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.00178571428571429	0.00315210812991729	3.3243	2.9879
PERT-PSP_OKADAIC_ACID	0.00585827657314254	0.186029206585434	2.9458	2.1134
PERT-PSP_LPS	0.0931460063649771	0.187006692784583	2.4756	2.1021
PERT-PSP_LPA	0.0887468938587149	0.11428673205253	2.4935	2.3756
PERT-PSP_INSULIN	0.0340476667334268	0.297493932601171	2.9763	1.7152
PERT-PSP_IL_2	0.04593786750294	0.208164031717888	2.8405	2.0013
PERT-PSP_IL_1B	0.0853246699924042	0.297493932601171	2.5148	1.7241
PERT-PSP_IL_1A	0.085337273283065	0.297493932601171	2.5437	1.739
PERT-PSP_HGF	0.0746069810818012	0.0645827951433738	2.4938	2.6329
PERT-PSP_HEREGULIN	0.00931908548707754	0.0425038347904278	2.9049	2.7494
PERT-PSP_H2O2	0.941334073381231	0.0178790355537393	0.1802	-3.1394
PERT-PSP_FIBRONECTIN	0.0116096824751843	0.0448998732825798	2.9585	2.75
PERT-PSP_FGF2	0.877457144165372	0.0448998732825798	-0.3274	-2.5857
PERT-PSP_FGF1	0.00178571428571429	0.00585827657314254	3.3706	2.9536
PERT-PSP_ETOPOSIDE	0.220961808656217	0.00703012408169004	-1.7824	-3.4121
PERT-PSP_ERLOTINIB	0.00178571428571429	0.00703012408169004	-3.4892	-3.0432
PERT-PSP_EGF	0.551792485959194	0.00178571428571429	1.0927	-4.6718
PERT-PSP_DASATINIB	0.00806774322632279	0.0448804595759061	-2.9523	-2.7231
PERT-PSP_CYCLIC_STRETCH	0.00703012408169004	0.0438113358702183	2.9517	2.7365
PERT-PSP_CISPLATIN	0.0895454217649463	0.143488492222924	2.5119	2.2064
PERT-PSP_BACTERIAL_INFECTION	0.0895454217649463	0.116076775548261	2.4777	2.3503
PERT-PSP_ARSENITE	0.102461158856617	0.00585827657314254	-2.1673	-3.3392
PERT-PSP_ANTI_IGM	0.00178571428571429	0.00178571428571429	3.0887	3.0641
PERT-PSP_ANTI_CD3	0.00178571428571429	0.905178419119271	4.5833	-0.2521
PERT-PSP_ANISOMYCIN	0.10760372593128	0.374475733972439	2.369	1.5034
PERT-P100-DIA2_PAZOPANIB	0.836031274088757	0.836031274088757	0.4239	0.4403
PERT-P100-DIA2_LENALIDOMIDE	0.105760233735326	0.103669055201699	1.9595	2.0143
PERT-P100-DIA2_IPI145	0.0773376957036944	0.0236018277255391	1.9972	2.2252
PATH-WP_Non-small_cell_lung_cancer	0.00178571428571429	0.00585827657314254	3.3893	2.9866
PATH-NP_TWEAK_PATHWAY	0.100105981767654	0.624748106601286	2.4448	0.9428
PATH-NP_TSLP_PATHWAY	0.0316364924831694	0.78827231977564	2.9784	0.6047
PATH-NP_TIE2_PATHWAY	0.0646926176481461	0.0104934940336991	-2.531	-3.5011
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.0895454217649463	0.116076775548261	2.4875	2.3192
PATH-NP_PROLACTIN_PATHWAY	0.0665581608539206	0.00178571428571429	-2.6652	-3.4853
PATH-NP_OXYTOCIN_PATHWAY	0.0931460063649771	0.297150414918116	2.5008	1.7382
PATH-NP_NOTCH_PATHWAY	0.208164031717888	0.913463621787927	2.0025	0.2215
PATH-NP_LEPTIN_PATHWAY	0.0436407125135565	0.839843646645653	2.8357	0.3953
PATH-NP_KIT_RECEPTOR_PATHWAY	0.00585827657314254	0.0401357735883675	3.0316	2.7626
PATH-NP_IL33_PATHWAY	0.0317469420526139	0.286279486413855	2.9916	1.7729
PATH-NP_GLP1_PATHWAY	0.830322170692615	0.04593786750294	0.4928	-2.957
PATH-NP_EGFR1_PATHWAY	0.0316364924831694	0.187006692784583	3.4103	-2.1244
PATH-NP_CRH_PATHWAY	0.100105981767654	0.620455238700622	2.4177	0.9679
PATH-NP_CCR7_PATHWAY	0.216730704170896	0.319846845506334	-1.8701	-1.6423
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.0156672689861188	0.836031274088757	3.1176	0.4773
PATH-NP_AGE_RAGE_PATHWAY	0.051892939100753	0.734687873972888	2.7627	0.7284
PATH-BI_ISCHEMIA	0.0387624636229188	0.1184259708154	2.8809	2.3586
KINASE-PSP_ZAP70	0.00178571428571429	0.860331697336103	4.2961	0.3597
